"building","geometryTitle","constructionTimeStart","municipalicy"
"http://kulturnav.org/aaa5c0d2-76e0-4a3b-bc75-2a03fbdf4afb","Copper Building, Kontorshus","1973","Stockholm"
"http://kulturnav.org/e5277b09-3f17-4f1b-b1c5-3fd2bb6bc686","Culturum","1987","Nyköping"
"http://kulturnav.org/53ad0052-8a11-4a92-9043-90e8578774d6","Curmanska villan","1880","Stockholm"
"http://kulturnav.org/b7f70154-ea45-45a8-a8a5-a300ae09ea91","Dalabergskyrkan","1981","Uddevalla"
"http://kulturnav.org/5030c1e3-8c68-4f17-bae0-71dd63523d4a","Dalarnas museum","1960","Falun"
"http://kulturnav.org/3b704219-40ff-44db-83fa-84ce2e341d6e","Dalby kyrka","1926","Torsby"
"http://kulturnav.org/422bac05-c01e-42b1-ba41-82eba7a4a860","Dalvikskyrkan","1969","Jönköping"
"http://kulturnav.org/89cb7c71-fee9-4091-982c-6f1f0935209e","Dicksonska folkbiblioteket","1892","Göteborg"
"http://kulturnav.org/3fe32217-29bd-4354-b979-3a72cd14505f","Dicksonska palatset","1862","Göteborg"
"http://kulturnav.org/39aadf0d-566b-49f6-817f-47ddc5ead324","Dieselverkstaden","2001","Nacka"
"http://kulturnav.org/aad0a2eb-92c5-42c1-a97e-3a495afec340","Dingtuna kyrka","1100","Västerås"
"http://kulturnav.org/3c05897f-7b1d-4b75-92f7-c6b5aedbcefa","Djursholms kapell","1898","Danderyd"
"http://kulturnav.org/58440bce-068e-4e5b-816f-eac1c59c6ae0","Djursholms samskola","1910","Danderyd"
"http://kulturnav.org/8e20d4bd-5320-4bd0-9846-802a8404f9a3","DN-skrapan","1961","Stockholm"
"http://kulturnav.org/8d334dd4-fa8b-4f90-883b-8b3a2fb89182","Doktor Fries torg","1955","Göteborg"
"http://kulturnav.org/622cee46-3976-450b-a4f1-fe4d7afcf982","Domkapitlet i Lund","1927","Lund"
"http://kulturnav.org/0268b23f-d104-4789-b475-935ca7aae9a0","Donsö kyrka","1932","Göteborg"
"http://kulturnav.org/3ebd5884-304d-4ecb-bc68-3fc961bfd04f","Douglaska palatset","1654","Stockholm"
"http://kulturnav.org/40167386-cd01-4ae6-8752-a616943d72ea","Dragonskolan","1971","Umeå"
"http://kulturnav.org/b30519af-3e72-4a97-9c4e-4cabbe3eaded","Dramaten","1908","Stockholm"
"http://kulturnav.org/eaa14894-674d-4936-ad0d-10b066b86a1e","Dringenbergska gården","1200","Malmö"
"http://kulturnav.org/f086371c-7562-43a5-b8f7-9bf5e0eb0cc9","Drottning Victorias Örlogshem","1929","Stockholm"
"http://kulturnav.org/63b8a5e4-ac54-41ef-aaec-a031d3eb1def","Drottninggatan 17, Uplandsbanken","1906","Stockholm"
"http://kulturnav.org/65ad9f67-4de2-4f12-b3e5-5a9f88775fab","Drottningholms slott","1662","Ekerö"
"http://kulturnav.org/25a61a10-b8a3-4a34-91f8-f94c0bbb0065","Drottningholms slottsteater","1764","Ekerö"
"http://kulturnav.org/4cce2ba4-fd69-4daa-9fe9-6ead3e84fc73","Duggregnet 5","1954","Stockholm"
"http://kulturnav.org/89ea7201-2889-467d-99cb-5eee9d0544fa","Dunkehalla kapell","1898","Jönköping"
"http://kulturnav.org/1ce9076d-c0d3-4da5-ae44-2ce9b6e4582b","Döbeln 7, Flerbostadshus","1905","Lund"
"http://kulturnav.org/4018a7e0-fe8d-42d3-a308-800eaff71641","Dångerska huset, Bostadshus- kontorshus","1625","Stockholm"
"http://kulturnav.org/f90f2cb3-0b55-4930-8a19-1d49e4aaf8a8","Ebbes kraftstation","1902","Jönköping"
"http://kulturnav.org/da96519a-f402-4230-818f-37ead1481b2e","Ede såg","1923","Hudiksvall"
"http://kulturnav.org/fafd070f-a512-418d-9b8e-2b153ef92d3b","Edsbergskyrkan","1972","Sollentuna"
"http://kulturnav.org/806568b0-3a69-4846-bbf7-ba90a0becad9","Egnahemsskolan","1920","Jönköping"
"http://kulturnav.org/e6bf1453-abb0-495e-9cc0-bba2e37dd1f0","Eiraskolan","1956","Stockholm"
"http://kulturnav.org/b9d1f4a9-f7a8-4c28-b103-e35f3e0dfd78","Ekeby vattentorn","1907","Danderyd"
"http://kulturnav.org/4745ec87-679e-4c65-a881-166019e78e5b","Ekebyhovskyrkan","1980","Ekerö"
"http://kulturnav.org/0cdb7865-b3c7-4db2-aa2a-01bd23d3a866","Ekensbergsskolan","1956","Solna"
"http://kulturnav.org/22168dd8-5bb8-4fd7-ad28-2fbbfdbfd025","Ekenässjöns kyrka","1970","Vetlanda"
"http://kulturnav.org/4fbb0997-6821-4749-8936-1aac7468c8e0","Eketorps borg","1977","Mörbylånga"
"http://kulturnav.org/7ff0aabc-d236-4ab0-8957-f1efa6b94d47","Eklidens skola","1949","Nacka"
"http://kulturnav.org/29923b19-33b2-4362-bd1a-fedee3e2bb11","Ekotemplet","1790","Solna"
"http://kulturnav.org/2c2ac01f-2d1b-4d7c-980c-e99a799fe562","Electrum","1986","Stockholm"
"http://kulturnav.org/f1c9a441-a47f-4844-9a10-ea88249cc8f4","Elfströmska huset","1911","Sundsvall"
"http://kulturnav.org/44a6abe1-1a7a-43c1-9d00-83be4cea1f4e","Elite Hotel Stockholm Plaza","1884","Stockholm"
"http://kulturnav.org/f7e967fb-f30b-481a-82de-aa52cacec952","Elite Park Avenue Hotel","1948","Göteborg"
"http://kulturnav.org/7d16f898-7fcf-48c3-b8f0-185fe34e7285","Emmaboda kyrka","1926","Emmaboda"
"http://kulturnav.org/a816392d-2ff9-477b-aa8c-6355ce333cc2","Engelbrektskyrkan","1910","Stockholm"
"http://kulturnav.org/cb4131ed-76ba-462a-b81c-942ebb74cb10","Enköpings kommunbibliotek","1995","Enköping"
"http://kulturnav.org/c00859d7-3c80-4fa7-a77f-983ecbb027c7","Enskede kyrka","1913","Stockholm"
"http://kulturnav.org/e94f042e-5494-4660-9bfc-eec53c95f88f","Enskede skola","1915","Stockholm"
"http://kulturnav.org/fa54b2c4-1398-4e3e-9c8f-ed43ffbad5ef","Envikens kyrka","1956","Falun"
"http://kulturnav.org/e1cbd074-3ef4-45ed-b2e6-d7108aef4af3","Eriksbergskyrkan","1960","Uppsala"
"http://kulturnav.org/b6747dba-5010-46de-8904-07f6ab40b098","Eriksdalsbadet","1961","Stockholm"
"http://kulturnav.org/33c8bab8-7278-4d42-8bf3-862a4e22af04","Eriksdalshallen","1939","Stockholm"
"http://kulturnav.org/f0f09903-5fe8-4de0-82fd-adfcd6c652e5","Eriksdalsskolan","1937","Stockholm"
"http://kulturnav.org/cd6e3239-a2b2-41b8-b6d3-1e5e15360345","Eskilstuna Sporthall","1933","Eskilstuna"
"http://kulturnav.org/3cc0b5d6-d89c-4918-93ee-b966673194ba","Eskilstuna stadsbibliotek","1962","Eskilstuna"
"http://kulturnav.org/f1534e64-423b-4ce2-a540-4478e87fbf59","Essinge kyrka","1957","Stockholm"
"http://kulturnav.org/c17e7fbe-7240-4414-a556-c2a2d4ad020a","Etnografiska museet","1976","Stockholm"
"http://kulturnav.org/593d1e37-a17c-4997-953f-e87558e0bfc5","Eugeniahemmet, Karolinska sjukhuset","1886","Solna"
"http://kulturnav.org/1a9d56e3-65be-4f73-95cc-5df8b61102ba","Fagerhults kapell","1919","Tanum"
"http://kulturnav.org/f0d96865-f3d1-4458-80e5-d74db9add6d1","Falkenerarbostället","1726","Solna"
"http://kulturnav.org/c47a48c9-759e-4b99-a48d-fa8ddde50b7d","Falköpings centralstation","1933","Falköping"
"http://kulturnav.org/9a8cd7b8-4cbe-43cf-9489-11f5100dd6eb","Fatbursparken","1993","Stockholm"
"http://kulturnav.org/7d30786c-21bc-4625-aeb4-1f7a4e515a63","Fegens kapell","1960","Falkenberg"
"http://kulturnav.org/662d3ebe-f462-4e94-8df5-7628e0aa9a98","Fenixpalatset","1912","Stockholm"
"http://kulturnav.org/678728e0-5b90-4553-9bf6-2e3d35fb6f08","Fersens bro","1914","Malmö"
"http://kulturnav.org/cffbeaf2-c3c7-4769-862b-3c9e01a5e4d1","Fersenska palatset, Sörensenska huset (tidigare Fersenska palatset)","1634","Stockholm"
"http://kulturnav.org/091c75b6-ae53-4eaf-95a1-8ab6427f4119","Filadelfiakyrkan, Stockholm","1928","Stockholm"
"http://kulturnav.org/352ebece-cbe2-4548-8ec8-f4fa19f18807","Filbornaskolan","1981","Helsingborg"
"http://kulturnav.org/2f1d7a34-3fe6-4763-876e-4c35797063eb","Filip Holmqvists handelsinstitut","1869","Göteborg"
"http://kulturnav.org/410b0962-5e1f-40a2-bf71-95c64c1612e0","Finnåkers kapell","1970","Lindesberg"
"http://kulturnav.org/5cfb80e5-ce47-4233-96f4-6d0203fc5ef5","Finska kyrkan","1648","Stockholm"
"http://kulturnav.org/f2f5d58d-4c3e-4135-834b-e1068ebe7508","Fiskaren mindre 14","1901","Stockholm"
"http://kulturnav.org/465bf885-1578-40e7-a210-dc71d0bbed2f","Flemingsbergs station","1989","Huddinge"
"http://kulturnav.org/21becb76-ff8c-476b-b633-5ec965408d76","Flensburgska barnsjukhuset","1913","Malmö"
"http://kulturnav.org/f9757229-3a2a-41f4-bbf0-35b29dccb40b","Flisby kyrka","1850","Nässjö"
"http://kulturnav.org/286cf0c9-73c0-48bc-8fee-bec96240ad51","Fotografens villa","1905","Nacka"
"http://kulturnav.org/01df40b0-07d0-4b52-9447-846e94dc0e08","Fredkullaskolan ,waldorfskola,","1992","Kungälv"
"http://kulturnav.org/117b3277-ed6f-4b98-92dd-3999ebd8da7f","Fredriksdals kyrka","1957","Nässjö"
"http://kulturnav.org/59856096-ef59-4af1-b6d2-94e05d801e83","Fredrikshovs slott","1774","Stockholm"
"http://kulturnav.org/391ed32c-ab2c-409c-b6b7-30e9a5aa1bdd","Fridafors kyrka","1959","Tingsryd"
"http://kulturnav.org/d6de570e-c0b0-4f5b-947e-b28604205b12","Fruängens centrum","1959","Stockholm"
"http://kulturnav.org/024a77d7-ccf2-4684-b6b0-99e8e7c977ce","Fruängens skola","1956","Stockholm"
"http://kulturnav.org/19a7d107-085e-47d5-b558-6ec41662e045","Fröderyds kyrka","1853","Vetlanda"
"http://kulturnav.org/1188fb65-d8ab-4e6f-8263-0c1c43bb26fc","Fröseke kapell","1938","Uppvidinge"
"http://kulturnav.org/ca59cb7c-aef4-48ca-b552-00db51fcd20b","Furuby kyrka","1871","Växjö"
"http://kulturnav.org/8b63e38c-ed55-41e8-b08f-ae43cb9877dd","Fältöversten","1971","Stockholm"
"http://kulturnav.org/94bf3b7a-72bb-4ad4-9b07-d5f1f32851bd","Färgaren 9, Trevåningshus","1902","Lund"
"http://kulturnav.org/989c9e12-161c-4213-9ce1-4b369087cef8","Fågelbergskyrkan","1984","Mölndal"
"http://kulturnav.org/f46982df-cfad-49db-9bd4-736d579e8100","Gahns hus, Kontorsbyggnad","1928","Stockholm"
"http://kulturnav.org/90627ee1-d6af-4dec-88c0-4be81a5bc3d6","Gamla brandstationen, LKAB","1908","Kiruna"
"http://kulturnav.org/d76c01a0-4062-4b29-8dbb-9d6fdbc00fb7","Gamla riksarkivet","1887","Stockholm"
"http://kulturnav.org/9712aa46-719f-4241-9574-5332c9420173","Gamla stadshuset, Kiruna","1963","Kiruna"
"http://kulturnav.org/0e285a63-1fd5-42ef-b6c3-69a798c45df9","Gamla Stockholm","1895","Stockholm"
